"message","link","permalink_url","created_time","type","id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","likes.data","likes.summary.total_count","likes.summary.can_like","likes.summary.has_liked","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction"
"The revolution never ends. Thirty years of Air: from Air Max 1 to Nike Air VaporMax. Get your favorites ready, new or OG, for #AirMaxDay 3.26. 

 
#nike #airmax1 #airmaxogred #airmaxogblue #airmax1aloha #airmax1ultralondon #airmax1tigercamo #airmax1atmos #airmax90infrared #airmaxbw #airmax180 #airmax93 #airmax95 #airmax97 #airmaxplus #airmax360 #airmax2009 #airmax2014 #airmaxzero #vapormax","https://www.facebook.com/nike/videos/10154758120033445/","https://www.facebook.com/nike/videos/10154758120033445/","2017-03-24T17:35:33+0000","video","15087023444_10154758120033445","[]","ranked","390","true","[]","44156","true","false","[]","45645","NONE"
"#NikeLab presents: The Vision-AIRS. Go behind the design with famed industrial designer Marc Newson, whose #VaporMax launches #AirMaxDay on Nike.com.","https://www.facebook.com/nike/videos/10154753554568445/","https://www.facebook.com/nike/videos/10154753554568445/","2017-03-23T20:01:11+0000","video","15087023444_10154753554568445","[]","ranked","188","true","[]","3956","true","false","[]","4265","NONE"
"What are girls made of?
  
You’re made of what you do.

#believeinmore #nike","https://www.facebook.com/nike/videos/10154706515833445/","https://www.facebook.com/nike/videos/10154706515833445/","2017-03-08T18:06:19+0000","video","15087023444_10154706515833445","[]","ranked","826","true","[]","19443","true","false","[]","23276","NONE"
"What will they say about you?

Maybe they'll say you showed them what was possible.
 
#believeinmore #nike","https://www.facebook.com/nike/videos/10154706085838445/","https://www.facebook.com/nike/videos/10154706085838445/","2017-03-08T15:01:29+0000","video","15087023444_10154706085838445","[]","ranked","1402","true","[]","29774","true","false","[]","34937","NONE"
"null","https://www.facebook.com/nikefootball/videos/10155995126908079/","https://www.facebook.com/15087023444/posts/10154675214458445/","2017-02-27T19:48:08+0000","video","15087023444_10154675214458445","[]","ranked","202","true","[]","2298","true","false","[]","2446","NONE"
"The bond between players should exist between people. Thank you, New Orleans. #EQUALITY #Nike","https://www.facebook.com/nike/videos/10154656907798445/","https://www.facebook.com/nike/videos/10154656907798445/","2017-02-21T22:48:37+0000","video","15087023444_10154656907798445","[]","ranked","143","true","[]","3295","true","false","[]","3467","NONE"
"We step onto the court as equals. Judged only by our performance. New Orleans sets the stage for All Star Weekend Nike Basketball. #EQUALITY #nike","https://www.facebook.com/nike/videos/10154639895598445/","https://www.facebook.com/nike/videos/10154639895598445/","2017-02-16T19:30:52+0000","video","15087023444_10154639895598445","[]","ranked","122","true","[]","2566","true","false","[]","2702","NONE"
"null","https://www.facebook.com/nike/photos/a.10150558176313445.388217.15087023444/10154617368398445/?type=3","https://www.facebook.com/15087023444/posts/10154617368533445/","2017-02-12T16:46:13+0000","photo","15087023444_10154617368533445","[]","ranked","246","true","[]","6233","true","false","[]","6728","NONE"
"null","https://www.facebook.com/nike/photos/a.422513558444.226868.15087023444/10154617367773445/?type=3","https://www.facebook.com/15087023444/posts/10154617368018445/","2017-02-12T16:45:53+0000","photo","15087023444_10154617368018445","[]","ranked","196","true","[]","3948","true","false","[]","4258","NONE"
"Everyone loves an underdog. Roger Federer #justdoit","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10154574935893445/?type=3","https://www.facebook.com/15087023444/posts/10154574935893445/","2017-01-29T12:19:07+0000","photo","15087023444_10154574935893445","[]","ranked","1054","true","[]","82192","true","false","[]","86823","NONE"
"Everyone loves an underdog. #justdoit","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10154573837458445/?type=3","https://www.facebook.com/15087023444/posts/10154573837458445/","2017-01-28T22:07:48+0000","photo","15087023444_10154573837458445","[]","ranked","373","true","[]","23819","true","false","[]","25280","NONE"
"null","https://www.facebook.com/nikebasketball/videos/10154237673146309/","https://www.facebook.com/15087023444/posts/10154466096333445/","2016-12-25T17:27:09+0000","video","15087023444_10154466096333445","[]","ranked","254","true","[]","3745","true","false","[]","3995","NONE"
"ACG means all conditions gear. And all conditions means all conditions.

The new #nikelab ACG collection, designed in collaboration with Errolson Hugh is now available at nike.com/nikelab","https://www.facebook.com/nike/videos/10154383909388445/","https://www.facebook.com/nike/videos/10154383909388445/","2016-12-02T17:01:15+0000","video","15087023444_10154383909388445","[]","ranked","420","true","[]","5604","true","false","[]","5884","NONE"
"The future isn’t tomorrow. It’s today.
 
Innovators Tinker Hatfield and Tiffany Beers give you a hands-on look at the auto-lacing Nike HyperAdapt 1.0. Discover more at nike.com/hyperadapt #hyperadapt","https://www.facebook.com/nike/videos/10154381480348445/","https://www.facebook.com/nike/videos/10154381480348445/","2016-12-01T22:36:13+0000","video","15087023444_10154381480348445","[]","ranked","1566","true","[]","18309","true","false","[]","20670","NONE"
"Finding peace through pace, Jun Takahashi fuses form and function with the #NikeLab Gyakusou running collection. 

Watch the full film and explore more at nike.com/nikelab","https://www.facebook.com/nike/videos/10154337232533445/","https://www.facebook.com/nike/videos/10154337232533445/","2016-11-16T01:42:35+0000","video","15087023444_10154337232533445","[]","ranked","299","true","[]","3486","true","false","[]","3641","NONE"
"Shaping the game.
Dive into Chi-City’s rich street ball heritage in the #AJXXXI Chicago Defy City film by Jordan.","https://www.facebook.com/nike/videos/10154309300218445/","https://www.facebook.com/nike/videos/10154309300218445/","2016-11-07T16:23:09+0000","video","15087023444_10154309300218445","[]","ranked","267","true","[]","3711","true","false","[]","3866","NONE"
"A new culture of FORCE ComplexCon. #af1","https://www.facebook.com/nike/videos/10154308938903445/","https://www.facebook.com/nike/videos/10154308938903445/","2016-11-07T04:53:55+0000","video","15087023444_10154308938903445","[]","ranked","171","true","[]","4135","true","false","[]","4365","NONE"
"It's been a long time...but the Chicago Cubs made Someday today.","https://www.facebook.com/nike/videos/10154297177143445/","https://www.facebook.com/nike/videos/10154297177143445/","2016-11-03T05:00:43+0000","video","15087023444_10154297177143445","[]","ranked","1005","true","[]","42975","true","false","[]","48211","NONE"
"⚽✖🏀
Brilliance collides in Barcelona.
Jordan makes its Camp Nou debut tomorrow at the feet of Neymar Jr.. #Hypervenom","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10154249722678445/?type=3","https://www.facebook.com/15087023444/posts/10154249722678445/","2016-10-18T18:02:11+0000","photo","15087023444_10154249722678445","[]","ranked","357","true","[]","13592","true","false","[]","14562","NONE"
"null","https://www.facebook.com/jumpman23/videos/1293346720717890/","https://www.facebook.com/15087023444/posts/10154216095368445/","2016-10-08T01:00:41+0000","video","15087023444_10154216095368445","[]","ranked","305","true","[]","5480","true","false","[]","5817","NONE"
"“The only person that’s going to have power over me, is me.”

Scout Bassett doesn’t just push limits. She sets them. Find out how: gonike.me/justdoit #justdoit","https://www.facebook.com/nike/videos/10154107088698445/","https://www.facebook.com/nike/videos/10154107088698445/","2016-08-30T16:00:49+0000","video","15087023444_10154107088698445","[]","ranked","422","true","[]","10959","true","false","[]","12190","NONE"
"Brilliant as individuals. Unstoppable as a nation. Unlimited Together. #justdoit","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10154080895133445/?type=3","https://www.facebook.com/15087023444/posts/10154080895133445/","2016-08-20T23:12:36+0000","photo","15087023444_10154080895133445","[]","ranked","304","true","[]","10089","true","false","[]","10638","NONE"
"“You could do it. Anyone could do it.”

Find out what it takes for Mo Farah to stay on top: gonike.me/justdoit #justdoit","https://www.facebook.com/nike/videos/10154077156263445/","https://www.facebook.com/nike/videos/10154077156263445/","2016-08-19T18:17:28+0000","video","15087023444_10154077156263445","[]","ranked","155","true","[]","4542","true","false","[]","4706","NONE"
"Who’s the Kevin Hart to your Serena Williams?
Our unlikely pair joined forces to create a powerful Nike Training  partner workout for the new Nike+ Training Club app. Tag your other half, hit the link and get to work: http://gonike.me/TheHartSerenaWorkout","https://www.facebook.com/nike/videos/10153982952648445/","https://www.facebook.com/nike/videos/10153982952648445/","2016-07-16T17:01:15+0000","video","15087023444_10153982952648445","[]","ranked","220","true","[]","2827","true","false","[]","2999","NONE"
"Stand as one. Play as one. Win as one. #justdoit","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10153973920303445/?type=3","https://www.facebook.com/15087023444/posts/10153973920303445/","2016-07-10T21:38:14+0000","photo","15087023444_10153973920303445","[]","ranked","211","true","[]","8488","true","false","[]","9117","NONE"
"#AlwaysBelieve","https://www.facebook.com/nike/videos/10153924253703445/","https://www.facebook.com/nike/videos/10153924253703445/","2016-06-20T02:38:51+0000","video","15087023444_10153924253703445","[]","ranked","1717","true","[]","52087","true","false","[]","56739","NONE"
"“You can always give it more than what you think you have.” – Mo Farah

See how the seven-time gold medalist reaches new heights: http://gonike.me/Athletes_Mo-farah #justdoit","https://www.facebook.com/nike/videos/10153895992178445/","https://www.facebook.com/nike/videos/10153895992178445/","2016-06-08T01:37:56+0000","video","15087023444_10153895992178445","[]","ranked","186","true","[]","2049","true","false","[]","2144","NONE"
"Brilliance collides. Introducing the new NJR x JORDAN collaboration, the first performance football collection to feature the Jumpman.","https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10153883671143445/?type=3","https://www.facebook.com/15087023444/posts/10153883671143445/","2016-06-02T04:06:58+0000","photo","15087023444_10153883671143445","[]","ranked","365","true","[]","7948","true","false","[]","8441","NONE"
"In Kobe’s last game, we’re reminded to always love the hate. #Mambaday","https://www.facebook.com/nike/videos/10153777264608445/","https://www.facebook.com/nike/videos/10153777264608445/","2016-04-13T16:19:12+0000","video","15087023444_10153777264608445","[]","ranked","1767","true","[]","15889","true","false","[]","17100","NONE"
"A revolution in motion.
There are few things that can match the world’s best move for move. With a revolutionary outsole which expands and contracts with your feet as you run and train, the #NikeFree family can. Get yours at Nike.com/free.","https://www.facebook.com/nike/videos/10153762391323445/","https://www.facebook.com/nike/videos/10153762391323445/","2016-04-07T18:43:31+0000","video","15087023444_10153762391323445","[]","ranked","812","true","[]","17676","true","false","[]","18381","NONE"
"Running will never feel the same.

Find the Nike LunarEpic Flyknit at www.nike.com/lunarepic. #LunarEpic","https://www.facebook.com/nike/videos/10153652716248445/","https://www.facebook.com/nike/videos/10153652716248445/","2016-03-03T16:06:53+0000","video","15087023444_10153652716248445","[]","ranked","1160","true","[]","6900","true","false","[]","7194","NONE"
"We don’t need another running shoe.

Coming tomorrow to nike.com/lunarepic. #LunarEpic","https://www.facebook.com/nike/videos/10153651370683445/","https://www.facebook.com/nike/videos/10153651370683445/","2016-03-02T20:00:00+0000","video","15087023444_10153651370683445","[]","ranked","365","true","[]","2500","true","false","[]","2573","NONE"
"null","https://www.facebook.com/usnikefootball/videos/10156521947060721/","https://www.facebook.com/15087023444/posts/10153610956618445/","2016-02-11T18:40:02+0000","video","15087023444_10153610956618445","[]","ranked","2384","true","[]","3799","true","false","[]","4333","NONE"
"All aboard! The SNKRS XPRESS has arrived in Toronto to bring the best of Nike Basketball, Jordan Brand and Nike Sportswear. 

Nike.com/snkrsxpress","https://www.facebook.com/nike/videos/10153605020493445/","https://www.facebook.com/nike/videos/10153605020493445/","2016-02-08T21:02:56+0000","video","15087023444_10153605020493445","[]","ranked","829","true","[]","4305","true","false","[]","4607","NONE"
"null","https://www.facebook.com/NikeWomenUK/videos/1063618693683912/","https://www.facebook.com/15087023444/posts/10153577356673445/","2016-01-25T20:21:02+0000","video","15087023444_10153577356673445","[]","ranked","651","true","[]","2189","true","false","[]","2389","NONE"
"null","https://www.facebook.com/hartkevin/videos/10153369615117045/","https://www.facebook.com/15087023444/posts/10153558791163445/","2016-01-16T18:13:43+0000","video","15087023444_10153558791163445","[]","ranked","520","true","[]","3694","true","false","[]","3850","NONE"
"Innovation can draw inspiration from any athlete. 

When Matthew Walzer, a teenager with cerebral palsy, wrote a letter outlining the challenges faced by athletes with limited use of their hands, Nike designer Tobie Hatfield came up with the groundbreaking FlyEase design. The technology debuts in the Lebron Soldier VIII for Young Athletes. gonike.me/LeBron_Kids_FLYEASE","https://www.facebook.com/nike/videos/10153540110973445/","https://www.facebook.com/nike/videos/10153540110973445/","2016-01-08T19:30:03+0000","video","15087023444_10153540110973445","[]","ranked","584","true","[]","4312","true","false","[]","4516","NONE"
"null","https://www.facebook.com/nikebasketball/videos/10153350998681309/","https://www.facebook.com/15087023444/posts/10153514135138445/","2015-12-25T20:23:53+0000","video","15087023444_10153514135138445","[]","ranked","452","true","[]","2826","true","false","[]","2927","NONE"
"Roads are closed. School is cancelled. #getouthere

Gear up at Nike.com/getouthere","https://www.facebook.com/nike/videos/10153408844503445/","https://www.facebook.com/nike/videos/10153408844503445/","2015-10-29T18:00:00+0000","video","15087023444_10153408844503445","[]","ranked","9009","true","[]","199872","true","false","[]","200351","NONE"
"Van a jugar contra algo más fuerte que ellos mismos.

Van a jugar contra la presión. 

Van a jugar el mejor partido de sus vidas.","https://www.facebook.com/nike/videos/10153401690573445/","https://www.facebook.com/nike/videos/10153401690573445/","2015-10-24T14:00:01+0000","video","15087023444_10153401690573445","[]","ranked","663","true","[]","15849","true","false","[]","15905","NONE"
"null","https://www.facebook.com/michaeljfoxfoundation/videos/10153692210818540/","https://www.facebook.com/15087023444/posts/10153397742848445/","2015-10-21T21:48:04+0000","video","15087023444_10153397742848445","[]","ranked","1367","true","[]","23316","true","false","[]","23426","NONE"
"null","https://www.facebook.com/nikesportswear.uk/videos/540455522771598/","https://www.facebook.com/15087023444/posts/10153388348768445/","2015-10-15T15:17:20+0000","video","15087023444_10153388348768445","[]","ranked","411","true","[]","2366","true","false","[]","2395","NONE"
"All you need to do is run. #justdoit

Nike.com/running","https://www.facebook.com/nike/videos/10153354633563445/","https://www.facebook.com/nike/videos/10153354633563445/","2015-09-25T15:03:00+0000","video","15087023444_10153354633563445","[]","ranked","723","true","[]","5771","true","false","[]","5826","NONE"
"null","https://www.facebook.com/usnikefootball/videos/10156049596275721/","https://www.facebook.com/15087023444/posts/10153325700278445/","2015-09-12T15:38:47+0000","video","15087023444_10153325700278445","[]","ranked","466","true","[]","4166","true","false","[]","4182","NONE"
"Nike Tech Pack presents the Fall '15 Nike Tech Fleece Collection.","http://nike.com/techpack","https://www.facebook.com/15087023444/posts/10153290429783445/","2015-08-27T14:02:19+0000","link","15087023444_10153290429783445","[]","ranked","637","true","[]","5255","true","false","[]","5288","NONE"
"null","https://www.facebook.com/nikecourt/photos/a.10150154909290332.397933.10150107266525332/10155915246855332/?type=3","https://www.facebook.com/15087023444/posts/10153279867648445/","2015-08-21T23:30:34+0000","photo","15087023444_10153279867648445","[]","ranked","262","true","[]","2534","true","false","[]","2553","NONE"
"You never know who will be short a guy.

Gear up to get ready at gonike.me/gear_up","https://www.facebook.com/nike/videos/10153195155363445/","https://www.facebook.com/nike/videos/10153195155363445/","2015-07-15T17:30:18+0000","video","15087023444_10153196470723445","[]","ranked","2521","true","[]","121132","true","false","[]","121205","NONE"
"Meet TJ. The kid that's better than you on and off the field. 

This is the season to change that: gonike.me/GEARUP  #takeonTJ","https://www.facebook.com/nike/videos/10153180616108445/","https://www.facebook.com/nike/videos/10153180616108445/","2015-07-07T18:52:21+0000","video","15087023444_10153180616108445","[]","ranked","1867","true","[]","17487","true","false","[]","17503","NONE"
"null","https://www.facebook.com/nikerunning/photos/a.73446537975.74592.65604112975/10153165601182976/?type=3","https://www.facebook.com/15087023444/posts/10152993058603445/","2015-04-20T01:47:33+0000","photo","15087023444_10152993058603445","[]","chronological","1142","true","[]","6969","true","false","[]","6980","NONE"
"Don’t just dream. #justdoit","https://www.facebook.com/nike/videos/10152959906768445/","https://www.facebook.com/nike/videos/10152959906768445/","2015-04-05T21:29:01+0000","video","15087023444_10152959906768445","[]","chronological","4119","true","[]","77904","true","false","[]","77991","NONE"
"null","https://www.facebook.com/nikewomen/videos/10153261755474683/","https://www.facebook.com/15087023444/posts/10152903497828445/","2015-03-12T17:02:51+0000","video","15087023444_10152903497828445","[]","chronological","1216","true","[]","6061","true","false","[]","6072","NONE"
"Your favorite sneaker shop, in the palm of your hand. Introducing the Nike SNKRS app. Curate your custom feed, set release reminders and be the first to get the latest drop.","http://www.nike.com/us/en_us/c/app/snkrs","https://www.facebook.com/15087023444/posts/10152836802173445/","2015-02-12T00:20:17+0000","link","15087023444_10152836802173445","[]","chronological","1104","true","[]","5523","true","false","[]","5530","NONE"
"null","https://www.facebook.com/usnikefootball/photos/a.341713795720.336852.57460905720/10155179446595721/?type=3","https://www.facebook.com/15087023444/posts/10152813408038445/","2015-02-02T03:11:31+0000","photo","15087023444_10152813408038445","[]","chronological","982","true","[]","19420","true","false","[]","19431","NONE"
"Neymar Jr. is never one to shy away from the spotlight. He turns every stadium into a stage. He attacks the defense with a style so fluid it’s like water flowing between rocks. But he also shines off the pitch. The Hypervenom Liquid Diamond is inspired by both his brilliant play and bright personality. 

“I think they will stand out because of that bright and energetic feeling you get from these boots. I think they have captured my bold and cheerful nature.” – Neymar Jr.","http://www.nike.com/hypervenom","https://www.facebook.com/15087023444/posts/10152806165258445/","2015-01-29T23:01:39+0000","link","15087023444_10152806165258445","[]","chronological","929","true","[]","11596","true","false","[]","11626","NONE"
"A girl’s best friend. 

Find your flow with the Nike Legendary Lava Tight and the rest of the tights collection from Nike Women.","http://www.nike.com/us/en_us/c/women/tights-guide","https://www.facebook.com/15087023444/posts/10152764855828445/","2015-01-08T19:07:21+0000","link","15087023444_10152764855828445","[]","chronological","686","true","[]","6757","true","false","[]","6772","NONE"
